category_code,category_name_en,category_name_zh,submodule_code,submodule_name_en,submodule_name_zh,primary_parent_code,primary_parent_name,relationship_status,issue_type,relationship_reason,possible_related_paths,recommended_action,source_file_path,notes
"02","Arts and Humanities","艺术与人文","023","Languages","","02","Arts and Humanities","clear","none","Nested once under category 02 and represents language study within arts and humanities.","","Confirm primary parent 02; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"02","Arts and Humanities","艺术与人文","028","Inter-disciplinary programmes and qualifications involving arts and humanities","","02","Arts and Humanities","clear","cross-disciplinary","Nested once under category 02; label explicitly covers interdisciplinary content involving arts and humanities.","03 Social Sciences, Journalism and Information; 04 Business, Administration and Law; 06 Information and Communication Technologies","Confirm primary parent 02; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"02","Arts and Humanities","艺术与人文","029","Arts and humanities not elsewhere classified","","02","Arts and Humanities","clear","too_broad","Nested once under category 02; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 02; use only when 021, 022, and 023 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"03","Social Sciences, Journalism and Information","社会科学、新闻与信息","030","Social sciences, journalism and information not further defined","","03","Social Sciences, Journalism and Information","clear","too_broad","Nested once under category 03; not further defined is an administrative category-level placeholder.","","Keep primary parent 03; prefer 031 or 032 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"03","Social Sciences, Journalism and Information","社会科学、新闻与信息","031","Social and behavioural sciences","","03","Social Sciences, Journalism and Information","clear","cross-disciplinary","Nested once under category 03; behavioural and social content can overlap with education, business, health, and biological science.","01 Education; 04 Business, Administration and Law; 05 Natural Sciences, Mathematics and Statistics; 09 Health and Welfare","Confirm primary parent 03; attach related_paths for applied psychology, economics, health behaviour, or education cases.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"03","Social Sciences, Journalism and Information","社会科学、新闻与信息","032","Journalism and information","","03","Social Sciences, Journalism and Information","clear","cross-disciplinary","Nested once under category 03; information and media content can overlap with humanities, ICT, and business communication.","02 Arts and Humanities; 04 Business, Administration and Law; 06 Information and Communication Technologies","Confirm primary parent 03; attach related_paths for digital media, archives, communication technology, or publishing cases.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"03","Social Sciences, Journalism and Information","社会科学、新闻与信息","038","Inter-disciplinary programmes and qualifications involving social sciences, journalism and information","","03","Social Sciences, Journalism and Information","clear","cross-disciplinary","Nested once under category 03; label explicitly covers interdisciplinary content involving social sciences, journalism, or information.","01 Education; 04 Business, Administration and Law; 06 Information and Communication Technologies; 09 Health and Welfare","Confirm primary parent 03; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"03","Social Sciences, Journalism and Information","社会科学、新闻与信息","039","Social sciences, journalism and information not elsewhere classified","","03","Social Sciences, Journalism and Information","clear","too_broad","Nested once under category 03; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 03; use only when 031 and 032 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"04","Business, Administration and Law","商业、管理与法律","040","Business, administration and law not further defined","","04","Business, Administration and Law","clear","too_broad","Nested once under category 04; not further defined is an administrative category-level placeholder.","","Keep primary parent 04; prefer 041 or 042 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"04","Business, Administration and Law","商业、管理与法律","041","Business and administration","","04","Business, Administration and Law","clear","none","Nested once under category 04 and directly represents the business and administration branch.","","Confirm primary parent 04; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"04","Business, Administration and Law","商业、管理与法律","042","Law","","04","Business, Administration and Law","clear","none","Nested once under category 04 and directly represents law inside business, administration, and law.","","Confirm primary parent 04; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"04","Business, Administration and Law","商业、管理与法律","048","Inter-disciplinary programmes and qualifications involving business, administration and law","","04","Business, Administration and Law","clear","cross-disciplinary","Nested once under category 04; label explicitly covers interdisciplinary content involving business, administration, or law.","03 Social Sciences, Journalism and Information; 06 Information and Communication Technologies; 10 Services","Confirm primary parent 04; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"04","Business, Administration and Law","商业、管理与法律","049","Business, administration and law not elsewhere classified","","04","Business, Administration and Law","clear","too_broad","Nested once under category 04; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 04; use only when 041 and 042 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","050","Natural sciences, mathematics and statistics not further defined","","05","Natural Sciences, Mathematics and Statistics","clear","too_broad","Nested once under category 05; not further defined is an administrative category-level placeholder.","","Keep primary parent 05; prefer 051, 052, 053, or 054 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","051","Biological and related sciences","","05","Natural Sciences, Mathematics and Statistics","clear","none","Nested once under category 05 and represents biological science as natural science rather than applied health or agriculture.","","Confirm primary parent 05; use related_paths only for applied health or agriculture stories.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","052","Environment","","05","Natural Sciences, Mathematics and Statistics","clear","cross-disciplinary","Nested once under category 05; environment is anchored in natural science but frequently connects to agriculture, engineering, services, and social policy.","03 Social Sciences, Journalism and Information; 07 Engineering, Manufacturing and Construction; 08 Agriculture, Forestry, Fisheries and Veterinary; 10 Services","Confirm primary parent 05; attach related_paths for climate policy, environmental engineering, land use, or sanitation cases.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","053","Physical sciences","","05","Natural Sciences, Mathematics and Statistics","clear","none","Nested once under category 05 and represents physical science as natural science.","","Confirm primary parent 05; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","054","Mathematics and statistics","","05","Natural Sciences, Mathematics and Statistics","clear","cross-disciplinary","Nested once under category 05; mathematical and statistical methods are reused across ICT, business, and social science, but their method base remains 05.","03 Social Sciences, Journalism and Information; 04 Business, Administration and Law; 06 Information and Communication Technologies","Confirm primary parent 05; route applied data-science stories with related_paths instead of creating another parent.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","058","Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics","","05","Natural Sciences, Mathematics and Statistics","clear","cross-disciplinary","Nested once under category 05; label explicitly covers interdisciplinary content involving natural sciences, mathematics, or statistics.","06 Information and Communication Technologies; 07 Engineering, Manufacturing and Construction; 08 Agriculture, Forestry, Fisheries and Veterinary; 09 Health and Welfare","Confirm primary parent 05; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"05","Natural Sciences, Mathematics and Statistics","自然科学、数学与统计","059","Natural sciences, mathematics and statistics not elsewhere classified","","05","Natural Sciences, Mathematics and Statistics","clear","too_broad","Nested once under category 05; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 05; use only when 051, 052, 053, and 054 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"06","Information and Communication Technologies","信息与通信技术","061","Information and Communication Technologies (ICTs)","","06","Information and Communication Technologies","clear","none","Nested once under category 06 and directly represents the ICT parent category.","","Confirm primary parent 06; AI, software, and computing should stay as field-level or story-level content unless already represented in the base.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"06","Information and Communication Technologies","信息与通信技术","068","Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs)","","06","Information and Communication Technologies","clear","cross-disciplinary","Nested once under category 06; label explicitly covers interdisciplinary content involving ICT.","04 Business, Administration and Law; 05 Natural Sciences, Mathematics and Statistics; 07 Engineering, Manufacturing and Construction; 09 Health and Welfare; 10 Services","Confirm primary parent 06; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"07","Engineering, Manufacturing and Construction","工程、制造与建筑","070","Engineering, manufacturing and construction not further defined","","07","Engineering, Manufacturing and Construction","clear","too_broad","Nested once under category 07; not further defined is an administrative category-level placeholder.","","Keep primary parent 07; prefer 071, 072, or 073 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"07","Engineering, Manufacturing and Construction","工程、制造与建筑","071","Engineering and engineering trades","","07","Engineering, Manufacturing and Construction","clear","none","Nested once under category 07 and represents engineering trades within the engineering parent.","","Confirm primary parent 07; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"07","Engineering, Manufacturing and Construction","工程、制造与建筑","072","Manufacturing and processing","","07","Engineering, Manufacturing and Construction","clear","none","Nested once under category 07 and represents manufacturing and processing inside engineering, manufacturing, and construction.","","Confirm primary parent 07; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"07","Engineering, Manufacturing and Construction","工程、制造与建筑","073","Architecture and construction","","07","Engineering, Manufacturing and Construction","clear","cross-disciplinary","Nested once under category 07; architecture and construction can overlap with design, environment, and urban services, but the built-system anchor remains 07.","02 Arts and Humanities; 05 Natural Sciences, Mathematics and Statistics; 10 Services","Confirm primary parent 07; attach related_paths for design, sustainability, or urban-service stories.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"07","Engineering, Manufacturing and Construction","工程、制造与建筑","078","Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction","","07","Engineering, Manufacturing and Construction","clear","cross-disciplinary","Nested once under category 07; label explicitly covers interdisciplinary content involving engineering, manufacturing, or construction.","05 Natural Sciences, Mathematics and Statistics; 06 Information and Communication Technologies; 08 Agriculture, Forestry, Fisheries and Veterinary; 10 Services","Confirm primary parent 07; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"07","Engineering, Manufacturing and Construction","工程、制造与建筑","079","Engineering, manufacturing and construction not elsewhere classified","","07","Engineering, Manufacturing and Construction","clear","too_broad","Nested once under category 07; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 07; use only when 071, 072, and 073 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","080","Agriculture, forestry, fisheries and veterinary not further defined","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","too_broad","Nested once under category 08; not further defined is an administrative category-level placeholder.","","Keep primary parent 08; prefer 081, 082, 083, or 084 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","081","Agriculture","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","none","Nested once under category 08 and directly represents agriculture.","","Confirm primary parent 08; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","082","Forestry","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","none","Nested once under category 08 and directly represents forestry.","","Confirm primary parent 08; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","083","Fisheries","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","none","Nested once under category 08 and directly represents fisheries.","","Confirm primary parent 08; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","084","Veterinary","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","cross-disciplinary","Nested once under category 08; veterinary knowledge overlaps with health and biological sciences, but the current base anchors it in agriculture, forestry, fisheries, and veterinary.","05 Natural Sciences, Mathematics and Statistics; 09 Health and Welfare","Confirm primary parent 08; attach related_paths when content is clinical, public-health, or biological-science oriented.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","088","Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","cross-disciplinary","Nested once under category 08; label explicitly covers interdisciplinary content involving agriculture, forestry, fisheries, or veterinary topics.","05 Natural Sciences, Mathematics and Statistics; 09 Health and Welfare; 10 Services","Confirm primary parent 08; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"08","Agriculture, Forestry, Fisheries and Veterinary","农业、林业、渔业与兽医","089","Agriculture, forestry, fisheries and veterinary not elsewhere classified","","08","Agriculture, Forestry, Fisheries and Veterinary","clear","too_broad","Nested once under category 08; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 08; use only when 081, 082, 083, and 084 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"09","Health and Welfare","健康与福利","090","Health and welfare not further defined","","09","Health and Welfare","clear","too_broad","Nested once under category 09; not further defined is an administrative category-level placeholder.","","Keep primary parent 09; prefer 091 or 092 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"09","Health and Welfare","健康与福利","091","Health","","09","Health and Welfare","clear","none","Nested once under category 09 and directly represents health.","","Confirm primary parent 09; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"09","Health and Welfare","健康与福利","092","Welfare","","09","Health and Welfare","clear","cross-disciplinary","Nested once under category 09; welfare can overlap with social science, law, education, and administration, but the care/welfare anchor remains 09.","01 Education; 03 Social Sciences, Journalism and Information; 04 Business, Administration and Law","Confirm primary parent 09; attach related_paths for policy, law, education, or social-work contexts.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"09","Health and Welfare","健康与福利","098","Inter-disciplinary programmes and qualifications involving health and welfare","","09","Health and Welfare","clear","cross-disciplinary","Nested once under category 09; label explicitly covers interdisciplinary content involving health or welfare.","03 Social Sciences, Journalism and Information; 08 Agriculture, Forestry, Fisheries and Veterinary; 10 Services","Confirm primary parent 09; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"09","Health and Welfare","健康与福利","099","Health and welfare not elsewhere classified","","09","Health and Welfare","clear","too_broad","Nested once under category 09; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 09; use only when 091 and 092 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","100","Services not further defined","","10","Services","clear","too_broad","Nested once under category 10; not further defined is an administrative category-level placeholder.","","Keep primary parent 10; prefer 101, 102, 103, or 104 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","101","Personal services","","10","Services","clear","none","Nested once under category 10 and directly represents personal services.","","Confirm primary parent 10; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","102","Hygiene and occupational health services","","10","Services","clear","cross-disciplinary","Nested once under category 10; hygiene and occupational health sound health-related, but the current base treats them as service delivery and workplace safety services.","04 Business, Administration and Law; 07 Engineering, Manufacturing and Construction; 09 Health and Welfare","Confirm primary parent 10; attach related_paths for clinical health, labour regulation, or industrial safety contexts.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","103","Security services","","10","Services","clear","cross-disciplinary","Nested once under category 10; security services can overlap with law, ICT security, public safety, and welfare, but the service-delivery anchor remains 10.","04 Business, Administration and Law; 06 Information and Communication Technologies; 09 Health and Welfare","Confirm primary parent 10; attach related_paths for legal, cyber, or public-health/safety contexts.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","104","Transport services","","10","Services","clear","cross-disciplinary","Nested once under category 10; transport services overlap with engineering infrastructure, business logistics, and environmental impacts, but the service anchor remains 10.","04 Business, Administration and Law; 05 Natural Sciences, Mathematics and Statistics; 07 Engineering, Manufacturing and Construction","Confirm primary parent 10; attach related_paths for infrastructure, logistics, or environmental content.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","108","Inter-disciplinary programmes and qualifications involving services","","10","Services","clear","cross-disciplinary","Nested once under category 10; label explicitly covers interdisciplinary content involving services.","04 Business, Administration and Law; 07 Engineering, Manufacturing and Construction; 09 Health and Welfare","Confirm primary parent 10; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"10","Services","服务","109","Services not elsewhere classified","","10","Services","clear","too_broad","Nested once under category 10; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 10; use only when 101, 102, 103, and 104 do not fit.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
